"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"oxigeno_disuelto";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"16";"Club de Pescadores";"CABA";"CA046";"25/4/2006";"2006";"Otoño";"no se midió";"1.8";"150000";"460000";"24000";"2.7";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"16";"Extremadamente deteriorada"
"17";"Reserva Ecológica-Playita";"CABA";"CA047";"25/4/2006";"2006";"Otoño";"no se midió";"0.65";"15000";"15000";"7500";"2.5";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"17";"Extremadamente deteriorada"
"18";"Escollera de Propaneros";"Avellaneda";"AV054";"25/4/2006";"2006";"Otoño";"5";"1.82";"3300";"7900";"no se midió";"2.7";"7.9";"20.4";"no se midió";"no se midió";"no se midió";"44";"Extremadamente deteriorada"
"19";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"25/4/2006";"2006";"Otoño";"no se midió";"1";"11000";"24000";"2100";"2.8";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"18";"Extremadamente deteriorada"
"20";"Arroyo Sarandí";"Avellaneda";"AV052";"25/4/2006";"2006";"Otoño";"1.7";"4622";"17000";"160000";"no se midió";"2.1";"7.8";"21.7";"no se midió";"no se midió";"no se midió";"24";"Extremadamente deteriorada"
"21";"Costa de Villa Domínico";"Avellaneda";"AV055";"25/4/2006";"2006";"Otoño";"3";"1992";"1700";"7000";"no se midió";"1.9";"7.7";"20.2";"no se midió";"no se midió";"no se midió";"24";"Extremadamente deteriorada"
"22";"Arroyo Santo Domingo";"Avellaneda";"AV053";"25/4/2006";"2006";"Otoño";"6.1";"no se midió";"22000";"no se midió";"22000";"no se midió";"7.6";"20";"no se midió";"no se midió";"no se midió";"30";"Extremadamente deteriorada"
"23";"Espora 400 m";"Quilmes";"QU061";"25/4/2006";"2006";"Otoño";"no se midió";"no se midió";"790";"4900";"no se midió";"4.84";"9.9";"7.8";"19.1";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"24";"Náutico 400 m";"Quilmes";"QU062";"25/4/2006";"2006";"Otoño";"10.8";"no se midió";"110";"7900";"no se midió";"5.28";"7.8";"19.1";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas (4)"
"25";"Pejerrey Club 400 m";"Quilmes";"QU063";"25/4/2006";"2006";"Otoño";"15.2";"no se midió";"3500";"35000";"no se midió";"5.72";"8.1";"18.9";"no se midió";"no se midió";"no se midió";"49";"Muy deteriorada"
"26";"Toma de agua Club de Pesca";"Ensenada";"EN082";"25/4/2006";"2006";"Otoño";"7.9";"no se midió";"300";"800";"no se midió";"no se midió";"7.7";"18.4";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"27";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"25/4/2006";"2006";"Otoño";"7.4";"no se midió";"110";"700";"no se midió";"no se midió";"7.5";"18.6";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"28";"Playa La Balandra";"Berisso";"BS093";"25/4/2006";"2006";"Otoño";"7.3";"no se midió";"3000";"no se midió";"300";"no se midió";"7.7";"19.7";"no se midió";"no se midió";"no se midió";"51";"Muy deteriorada"
"29";"Barrio El Ceibo";"Vicente López";"VL033";"2/6/2006";"2006";"Otoño";"3.4";"0.51";"24000";"110000";"24000";"4.2";"7.1";"29.7";"243";"0.44";"0.36";"19";"Extremadamente deteriorada"
"30";"Puerto de Olivos Espigón";"Vicente López";"VL032";"2/6/2006";"2006";"Otoño";"3.1";"0.22";"2400";"46000";"2400";"4.4";"7";"28.3";"190";"0.28";"282";"35";"Extremadamente deteriorada"
"31";"Costa y Melo";"Vicente López";"VL031";"2/6/2006";"2006";"Otoño";"3.7";"0.32";"930";"4600";"930";"3.6";"7";"27";"187";"0.22";"277";"40";"Extremadamente deteriorada"
"1";"Barrio El Ceibo";"Vicente López";"VL033";"1/7/2006";"2006";"Invierno";"8.9";"0";"92000";"92000";"250";"no se midió";"6.8";"14.1";"no se midió";"no se midió";"no se midió";"41";"Extremadamente deteriorada"
"2";"Barrio El Ceibo";"Vicente López";"VL033";"1/8/2023";"2006";"Invierno";"6.9";"nd";"240000";"2400000";"240000";"3.4";"6.9";"11.7";"174.6";"0.35";"no se midió";"29";"Extremadamente deteriorada"
"3";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/8/2006";"2006";"Invierno";"3.5";"1.28";"54000";"350000";"no se midió";"03.09";"7.6";"12.5";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"4";"Costa y Melo";"Vicente López";"VL031";"1/8/2006";"2006";"Invierno";"8.2";"nd";"46000";"240000";"46000";"4";"no se midió";"11.4";"174.8";"0.28";"no se midió";"25";"Extremadamente deteriorada"
"5";"Escollera de Propaneros";"Avellaneda";"AV054";"1/8/2006";"2006";"Invierno";"8";"nd";"24000";"240000";"24000";"4.2";"6.9";"11.4";"166.1";"0.3";"344";"31";"Extremadamente deteriorada"
"6";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"1/8/2006";"2006";"Invierno";"3";"1.482";"17000";"240000";"no se midió";"11.93";"8";"12.4";"no se midió";"no se midió";"no se midió";"27";"Extremadamente deteriorada"
"7";"Arroyo Sarandí";"Avellaneda";"AV052";"1/8/2006";"2006";"Invierno";"3.3";"1.163";"22000";"92000";"no se midió";"11.17";"8.1";"11.6";"no se midió";"no se midió";"no se midió";"26";"Extremadamente deteriorada"
"8";"Costa de Villa Domínico";"Avellaneda";"AV055";"1/8/2006";"2006";"Invierno";"3.4";"1.369";"54000";"160000";"no se midió";"07.01";"8.2";"11.9";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"9";"Arroyo Santo Domingo";"Avellaneda";"AV053";"1/8/2006";"2006";"Invierno";"2.8";"1.74";"4600";"160000";"no se midió";"08.07";"8.1";"12.1";"no se midió";"no se midió";"no se midió";"31";"Extremadamente deteriorada"
"10";"Espora 400 m";"Quilmes";"QU061";"4/8/2006";"2006";"Invierno";"no se midió";"no se midió";"1700";"35000";"no se midió";"7.92";"8.4";"12.9";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"11";"Náutico 400 m";"Quilmes";"QU062";"4/8/2006";"2006";"Invierno";"no se midió";"no se midió";"17000";"540000";"no se midió";"7.48";"8.2";"12.1";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"12";"Pejerrey Club 400 m";"Quilmes";"QU063";"4/8/2006";"2006";"Invierno";"no se midió";"no se midió";"110";"240000";"no se midió";"9.68";"8.3";"11.3";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"13";"Toma de agua Club de Pesca";"Ensenada";"EN082";"1/7/2006";"2006";"Invierno";"6.3";"no se midió";"300";"no se midió";"no se midió";"no se midió";"7.6";"13.5";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"14";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"1/7/2006";"2006";"Invierno";"6.3";"no se midió";"500";"no se midió";"no se midió";"no se midió";"7.6";"13.6";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"1";"Espigón La Farola";"San Isidro";"SI021";"5/11/2006";"2006";"Primavera";"no se midió";"1.7";"6.8";"26";"1.9";"8.8";"7.4";"25.7";"no se midió";"no se midió";"no se midió";"75";"Deteriorada"
"2";"Reserva Ecooógica";"San Isidro";"SI022";"5/11/2006";"2006";"Primavera";"no se midió";"1";"45000";"68000";"3.6";"7.6";"7.3";"25.6";"no se midió";"no se midió";"no se midió";"35";"Extremadamente deteriorada"
"3";"Pacheco";"San Isidro";"SI024";"5/11/2006";"2006";"Primavera";"no se midió";"0.95";"20";"110";"2.7";"7.5";"7.5";"26";"no se midió";"no se midió";"no se midió";"81";"Levemente deteriorada"
"4";"Barrio El Ceibo";"Vicente López";"VL033";"31/10/2006";"2006";"Primavera";"7.3";"2";"54000";"54000";"5000";"14";"7.3";"23.8";"175";"0.46";"no se midió";"27";"Extremadamente deteriorada"
"5";"Puerto de Olivos Espigón";"Vicente López";"VL032";"31/10/2006";"2006";"Primavera";"7.2";"0.62";"4900";"35000";"8000";"5";"7.2";"21.9";"146.6";"0.46";"no se midió";"30";"Extremadamente deteriorada"
"6";"Costa y Melo";"Vicente López";"VL031";"31/10/2006";"2006";"Primavera";"7.3";"0.74";"92000";"240000";"38000";"2.7";"7.3";"22";"261";"0.63";"no se midió";"26";"Extremadamente deteriorada"
"7";"Espora 400 m";"Quilmes";"QU061";"24/10/2006";"2006";"Primavera";"9.9";"no se midió";"460";"9300";"no se midió";"1.32";"7.6";"24.7";"no se midió";"no se midió";"no se midió";"75";"Deteriorada"
"8";"Náutico 400 m";"Quilmes";"QU062";"24/10/2006";"2006";"Primavera";"12.7";"no se midió";"150";"24000";"no se midió";"3.52";"no se midió";"7.8";"24.5";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"9";"Pejerrey Club 400 m";"Quilmes";"QU063";"24/10/2006";"2006";"Primavera";"7.2";"no se midió";"460";"750";"no se midió";"2.2";"7.6";"24.8";"no se midió";"no se midió";"no se midió";"75";"Deteriorada"
"10";"Espora 400 m";"Quilmes";"QU061";"3/10/2006";"2006";"Primavera";"13";"no se midió";"15000";"21000";"no se midió";"7.8";"24.3";"no se midió";"no se midió";"no se midió";"no se midió";"32";"Extremadamente deteriorada"
"11";"Náutico 400 m";"Quilmes";"QU062";"3/10/2006";"2006";"Primavera";"12";"no se midió";"460";"1100";"no se midió";"7";"24.4";"no se midió";"no se midió";"no se midió";"no se midió";"52";"Muy deteriorada"
"12";"Pejerrey Club 400 m";"Quilmes";"QU063";"3/10/2006";"2006";"Primavera";"13";"no se midió";"460";"750";"no se midió";"7.8";"24.1";"no se midió";"no se midió";"no se midió";"no se midió";"52";"Muy deteriorada"
"13";"Toma de agua Club de Pesca";"Ensenada";"EN082";"31/10/2006";"2006";"Primavera";"7.3";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"7.7";"20.5";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"14";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"31/10/2006";"2006";"Primavera";"5.5";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"7.3";"20.6";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"15";"Barrio El Ceibo";"Vicente López";"VL033";"1/12/2006";"2006";"Primavera";"no se midió";"no se midió";"2300";"4900";"1000";"no se midió";"7.8";"29.3";"141.6";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"1/12/2006";"2006";"Primavera";"no se midió";"no se midió";"2300";"24000";"4300";"no se midió";"7.5";"28.5";"141.4";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"17";"Costa y Melo";"Vicente López";"VL031";"1/12/2006";"2006";"Primavera";"no se midió";"no se midió";"7900";"240000";"2600";"no se midió";"8.1";"28.4";"123.6";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"18";"Toma de agua Club de Pesca";"Ensenada";"EN082";"12/12/2006";"2006";"Primavera";"8.3";"no se midió";"230";"3000";"no se midió";"7.8";"25.8";"no se midió";"no se midió";"no se midió";"no se midió";"54";"Muy deteriorada"
"19";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"12/12/2006";"2006";"Primavera";"4.5";"no se midió";"230";"140000";"no se midió";"7.4";"26.6";"no se midió";"no se midió";"no se midió";"no se midió";"35";"Extremadamente deteriorada"
