"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"15";"Reserva Barrio El Ceibo ";"Vicente López";"VL033";"28/8/2013";"2013";"invierno";"no se midió";"0.7";"7.7";"2.400.000";"240.000";"240.000";"11.65";"4.19";"42";"21";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"28/8/2013";"2013";"invierno";"no se midió";"0.7";"7.5";"160.900";"9.200";"9.200";"9.61";"4.39";"40";"23";"Extremadamente deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"28/8/2013";"2013";"invierno";"no se midió";"0.5";"7.4";"278.000";"54.200";"54.200";"4.83";"4.14";"<30";"21";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"28/8/2013";"2013";"invierno";"no se muestreó";"";"";"";"";"";"";"";"";"";""
"19";"Mirador toma de agua";"CABA";"CA043";"28/8/2013";"2013";"invierno";"no se muestreó";"";"";"";"";"";"";"";"";"";""
"20";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"28/8/2013";"2013";"invierno";"no se muestreó";"";"";"";"";"";"";"";"";"";""
"21";"Club de Pescadores";"CABA";"CA046";"28/8/2013";"2013";"invierno";"no se muestreó";"";"";"";"";"";"";"";"";"";""
"22";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"28/8/2013";"2013";"invierno";"no se muestreó";"";"";"";"";"";"";"";"";"";""
"23";"Escollera de Propaneros";"Avellaneda";"AV054";"28/8/2013";"2013";"invierno";"16.2";"2.99";"7.14";"2.700";"1.200";"no se midió";"7.6";"3.72";"35";"44";"Extremadamente deteriorada"
"24";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"28/8/2013";"2013";"invierno";"13.7";"8.87";"7.52";"2.600";"800";"no se midió";"13.04";"0.99";"100";"64";"Muy deteriorada"
"25";"Arroyo Sarandí";"Avellaneda";"AV052";"28/8/2013";"2013";"invierno";"13.5";"8.98";"7.37";"310";"230";"no se midió";"7.84";"0.66";"35";"72";"Deteriorada"
"26";"Costa de Villa Domínico     ";"Avellaneda";"AV055";"28/8/2013";"2013";"invierno";"13";"8.37";"7.3";"490";"170";"no se midió";"7.15";"1.22";"37";"82";"Levemente deteriorada"
"27";"Arroyo Santo Domingo";"Avellaneda";"AV053";"28/8/2013";"2013";"invierno";"13.4";"2.7";"7.43";"330.000";"140.000";"no se midió";"6.37";"1.52";"<30";"30";"Extremadamente deteriorada"
"28";"Espora 400 m";"Quilmes";"QU061";"28/8/2013";"2013";"invierno";"9";"<0.5";"7.9";"6.300.000";"700.000";"no se midió";"11.56";"5.39";"82";"29";"Extremadamente deteriorada"
"29";"Náutico 400 m";"Quilmes";"QU062";"28/8/2013";"2013";"invierno";"9";"<0.5";"7.9";"46.000.000";"8.000.000";"no se midió";"12.3";"4.62";"71";"29";"Extremadamente deteriorada"
"30";"Pejerrey Club 400 m";"Quilmes";"QU063";"28/8/2013";"2013";"invierno";"9";"<0.5";"7.9";"90.000";"70.000";"no se midió";"24.54";"5.75";"75";"30";"Extremadamente deteriorada"
"31";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"28/8/2013";"2013";"invierno";"11";"0.8";"7.7";"9.400.000";"1.400.000";"no se midió";"8.13";"3.32";"77";"29";"Extremadamente deteriorada"
"32";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"28/8/2013";"2013";"invierno";"12";"0.8";"7.9";"4.900.000";"1.100.000";"no se midió";"2.17";"9.17";"72";"29";"Extremadamente deteriorada"
"33";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"28/8/2013";"2013";"invierno";"13";"4.2";"8.1";"270.000";"70.000";"no se midió";"9.45";"5.1";"57";"30";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"Ensenada";"EN081";"28/8/2013";"2013";"invierno";"11";"0.8";"8.1";"9.000";"5.000";"no se midió";"11.46";"5.15";"53";"35";"Extremadamente deteriorada"
"35";"Toma de agua Club de Pesca";"Ensenada";"EN082";"28/8/2013";"2013";"invierno";"11";"1.7";"7.8";"43.000";"13.000";"no se midió";"7.53";"3.29";"32";"33";"Extremadamente deteriorada"
"36";"Arroyo El Gato";"Ensenada";"EN083";"28/8/2013";"2013";"invierno";"12";"<0.5";"7.7";"310.000";"80.000";"no se midió";"3.04";"7.77";"75";"30";"Extremadamente deteriorada"
"37";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"28/8/2013";"2013";"invierno";"12";"1.6";"7.6";"2.300";"800";"no se midió";"9.32";"1.77";"<30";"48";"Muy deteriorada"
"38";"Balneario Palo Blanco";"Berisso";"BS092";"28/8/2013";"2013";"invierno";"8.9";"1.3";"8.2";"11.000";"1.300";"no se midió";"16.55";"1.4";"41";"45";"Muy deteriorada"
"39";"Playa La Bagliardi";"Berisso";"BS091";"28/8/2013";"2013";"invierno";"9.1";"1";"7.8";"14.000";"2.700";"no se midió";"7.76";"0.77";"33";"41";"Extremadamente deteriorada"
"40";"Playa La Balandra";"Berisso";"BS093";"28/8/2013";"2013";"invierno";"9.4";"2.5";"8.1";"63.000";"14.000";"no se midió";"12.93";"1.61";"41";"33";"Extremadamente deteriorada"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"2.400";"2.400";"790";"no se midió";"no se midió";"70";"no se puede calcular";""
"2";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"17.200";"2.400";"2.400";"no se midió";"no se midió";"66";"no se puede calcular";""
"3";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"";"";"";"no se midió";"no se midió";"65";"no se puede calcular";""
"4";"Río Reconquista y Río Lujan";"Tigre";"TI004";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"16.900";"9.200";"9.200";"no se midió";"no se midió";"";"no se puede calcular";""
"5";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"34.800";"34.800";"17.200";"no se midió";"no se midió";"";"no se puede calcular";""
"6";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"160.900";"160.900";"160.900";"no se midió";"no se midió";"";"no se puede calcular";""
"7";"Del Arca";"San Fernando";"SF015";"13/11/2013";"2013";"primavera";"16";"no se midió";"no se midió";"17.200";"17.200";"17.200";"8";"0.116";"72";"36";"Extremadamente deteriorada"
"8";"Espigón La Farola";"San Isidro";"SI021";"13/11/2013";"2013";"primavera";"22.9";"7.96";"7.8";"24.000";"24.000";"24.000";"";"";"70";"35";"Extremadamente deteriorada"
"9";"Reserva Ecológica";"San Isidro";"SI022";"13/11/2013";"2013";"primavera";"22.4";"7.39";"7.7";"24.000";"9.200";"9.200";"8.8";"0.128";"72";"43";"Extremadamente deteriorada"
"10";"Playa Espigón de Pacheco";"San Isidro";"SI024";"13/11/2013";"2013";"primavera";"22.5";"7.42";"7.8";"109.000";"34.800";"34.800";"";"";"77";"35";"Extremadamente deteriorada"
"11";"Perú Puente";"San Isidro";"SI023";"13/11/2013";"2013";"primavera";"21.3";"1.05 (*)";"7";"2.400.000";"2.400.000";"2.400.000";"";"";"84";"24";"Extremadamente deteriorada"
"12";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"13/11/2013";"2013";"primavera";"22.2";"7.5";"7.9";"91.800";"16.000";"3.500";"14.1";"0.092";"72";"42";"Extremadamente deteriorada"
"13";"Puerto de Olivos Espigón";"Vicente López";"VL032";"13/11/2013";"2013";"primavera";"21.8";"7.1";"7.8";"17.200";"9.200";"9.200";"15.2";"0.202";"69";"43";"Extremadamente deteriorada"
"14";"Costa y Melo";"Vicente López";"VL031";"13/11/2013";"2013";"primavera";"21.7";"8.2";"8";"54.200";"24.000";"24.000";"16.5";"0.192";"75";"40";"Extremadamente deteriorada"
"15";"Parque de los Niños";"CABA";"CA041";"13/11/2013";"2013";"primavera";"25.2";"5.27";"7.37";"200.000";"10.000";"8.100";"5";"0.6";"88";"35";"Extremadamente deteriorada"
"16";"Mirador toma de agua";"CABA";"CA043";"13/11/2013";"2013";"primavera";"24.1";"5.23";"7.32";"1.000.000";"19.000";"16.000";"5";"1.6";"99";"34";"Extremadamente deteriorada"
"17";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"13/11/2013";"2013";"primavera";"23.9";"5.72";"7.27";"60.000";"3.800";"3.000";"5";"3.1";"87";"38";"Extremadamente deteriorada"
"18";"Club de Pescadores";"CABA";"CA046";"13/11/2013";"2013";"primavera";"25.4";"5.26";"7.27";"130.000";"19.000";"14.000";"6";"2.6";"134";"34";"Extremadamente deteriorada"
"19";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"13/11/2013";"2013";"primavera";"25.6";"6.06";"7.59";"50.000";"3.100";"2.300";"5";"1.1";"93";"40";"Extremadamente deteriorada"
"20";"Escollera de Propaneros";"Avellaneda";"AV054";"13/11/2013";"2013";"primavera";"23.93";"5.04";"7.54";"230.000";"";"";"12.7";"1.295";"76";"no se puede calcular";""
"21";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"13/11/2013";"2013";"primavera";"23";"5.74";"7.6";"230.000";"";"";"13.3";"1.174";"63";"no se puede calcular";""
"22";"Arroyo Sarandí";"Avellaneda";"AV052";"13/11/2013";"2013";"primavera";"22";"5.53";"7.75";"230.000";"";"";"9.9";"0.887";"58";"no se puede calcular";""
"23";"Costa de Villa Domínico";"Avellaneda";"AV055";"13/11/2013";"2013";"primavera";"22.56";"5.67";"7.78";"230.000";"";"";"13.3";"1.057";"73";"no se puede calcular";""
"24";"Arroyo Santo Domingo";"Avellaneda";"AV053";"13/11/2013";"2013";"primavera";"22.46";"5.81";"7.85";"230.000";"";"";"10.1";"1.922";"77";"no se puede calcular";""
"25";"Espora 400 m";"Quilmes";"QU061";"13/11/2013";"2013";"primavera";"22.1";"5.78";"7.25";"no se midió";"no se midió";"no se midió";"7.2";"0.294";"66";"no se puede calcular";""
"26";"Náutico 400 m";"Quilmes";"QU062";"13/11/2013";"2013";"primavera";"21.9";"5.87";"7.43";"no se midió";"no se midió";"no se midió";"7.09";"0.338";"68";"no se puede calcular";""
"27";"Pejerrey Club 400 m";"Quilmes";"QU063";"13/11/2013";"2013";"primavera";"21.6";"6.75";"7.49";"no se midió";"no se midió";"no se midió";"7.43";"0.082";"68";"no se puede calcular";""
"28";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"13/11/2013";"2013";"primavera";"20.2";"8.5";"no se midió";"no se midió";"no se midió";"no se midió";"6.39";"0.068";"145";"no se puede calcular";""
"29";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"13/11/2013";"2013";"primavera";"21";"9";"";"no se midió";"no se midió";"no se midió";"7.22";"0.412";"no se midió";"no se puede calcular";""
"30";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"13/11/2013";"2013";"primavera";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"5.63";"0.184";"no se midió";"no se puede calcular";""
"31";"Camping Eva Perón";"Ensenada";"EN081";"13/11/2013";"2013";"primavera";"20.9";"8.88";"8.17";"24.000";"2.400";"2.400";"13.2";"0.142";"77";"54";"Muy deteriorada"
"32";"Toma de agua Club de Pesca";"Ensenada";"EN082";"13/11/2013";"2013";"primavera";"21.6";"6.49";"7.65";"no se midió";"no se midió";"no se midió";"18";"0.012";"56";"no se puede calcular";""
"33";"Arroyo El Gato";"Ensenada";"EN083";"13/11/2013";"2013";"primavera";"21.6";"0.96";"7.54";"no se midió";"no se midió";"no se midió";"18.5";"0.704";"68";"no se puede calcular";""
"34";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"13/11/2013";"2013";"primavera";"21.4";"7.25";"7.78";"no se midió";"no se midió";"no se midió";"17.5";"0.046";"56";"no se puede calcular";""
"35";"Diagonal 66 (descarga cloaca)";"Berisso";"BS095";"13/11/2013";"2013";"primavera";"21.6";"7.95";"7.58";"no se midió";"no se midió";"no se midió";"no se midió";"1.516";"120";"no se puede calcular";""
"36";"Balneario Municipal";"Berisso";"BS094";"13/11/2013";"2013";"primavera";"21.1";"9.36";"8.09";"no se midió";"no se midió";"no se midió";"8.94";"0.066";"61";"no se puede calcular";""
"37";"Playa La Balandra";"Berisso";"BS093";"13/11/2013";"2013";"primavera";"20.9";"9.66";"7.68";"16.000";"490";"490";"9.61";"0.146";"70";"74";"Deteriorada"
