"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"oxigeno_disuelto";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"17";"Parque de los Niños";"CABA";"CA041";"4/5/2005";"2005";"otoño";"0.4";"no se midió";"no se midió";"no se midió";"no se midió";"4.4";"7.6";"22.1";"168";"0.17";"0.35";"pocas variables";"sin poder calcular Índice"
"18";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"4/5/2005";"2005";"otoño";"1";"no se midió";"no se midió";"no se midió";"no se midió";"4";"7.3";"19.9";"217";"0.19";"0.45";"pocas variables";"sin poder calcular Índice"
"19";"Reserva Ecológica-Playita";"CABA";"CA047";"3/5/2005";"2005";"otoño";"0.26";"57000";"60000";"3000";"";"5.1";"7.7";"19.8";"139";"0.13";"0.29";"25";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CABA";"CA046";"3/5/2005";"2005";"otoño";"0.62";"18000";"22000";"4000";"";"4.5";"7.6";"19.5";"143";"0.17";"0.3";"15";"Extremadamente deteriorada"
"21";"Arroyo Santo Domingo";"Avellaneda";"AV053";"3/5/2005";"2005";"otoño";"no se midió";"4300";"4300";"no se midió";"4.5";"8.1";"7.6";"18.9";"no se midió";"no se midió";"no se midió";"48";"Muy deteriorada"
"22";"Arroyo Sarandí";"Avellaneda";"AV052";"3/5/2005";"2005";"otoño";"no se midió";"90";"230";"no se midió";"4.1";"9.3";"7.7";"19.5";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas"
"23";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"3/5/2005";"2005";"otoño";"no se midió";"90";"430";"no se midió";"3.7";"8.4";"7.9";"18.7";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas"
"24";"Escollera de Propaneros";"Avellaneda";"AV054";"3/5/2005";"2005";"otoño";"no se midió";"4300";"4300";"no se midió";"3.2";"4";"7.5";"18.9";"no se midió";"no se midió";"no se midió";"37";"Extremadamente deteriorada"
"25";"Espora";"Quilmes";"QU061";"3/5/2005";"2005";"otoño";"no se midió";"1100";"24000";"no se midió";"6";"6.7";"no se midió";"19.8";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"26";"Naútico";"Quilmes";"QU062";"3/5/2005";"2005";"otoño";"no se midió";"24000";"93000";"no se midió";"5.6";"9.5";"no se midió";"19.8";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"27";"Pejerrey Club";"Quilmes";"QU063";"3/5/2005";"2005";"otoño";"no se midió";"24000";"93000";"5";"no se midió";"10.1";"no se midió";"20";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"28";"Toma de agua Club de Pesca";"Ensenada";"EN082";"3/5/2005";"2005";"otoño";"no se midió";"500";"2400";"no se midió";"no se midió";"8.8";"8";"18.9";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"29";"Prefectura Isla Santiago";"Ensenada";"EN084";"3/5/2005";"2005";"otoño";"no se midió";"3000";"8000";"no se midió";"no se midió";"8.5";"8.1";"18.3";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"30";"Playa La Balandra";"Berisso";"BS093";"3/5/2005";"2005";"otoño";"no se midió";"1400";"2300";"2300";"no se midió";"7.6";"7.9";"18.3";"no se midió";"no se midió";"no se midió";"41";"Extremadamente deteriorada"
"1";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"9/8/2005";"2005";"invierno";"0.75";"150";"2400";"150";"1.6";"6.2";"7.8";"13.8";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas"
"2";"Río Tigre y Río Lujan";"Tigre";"TI005";"9/8/2005";"2005";"invierno";"0.65";"230";"15000";"230";"1.6";"5.3";"8.1";"13.5";"no se midió";"no se midió";"no se midió";"84";"Levemente deteriorada"
"3";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"9/8/2005";"2005";"invierno";"3.2";"43000";"240000";"43000";"1.1";"2.8";"8.2";"13.2";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"4";"Río Capitán y Río San Antonio";"Tigre";"TI008";"9/8/2005";"2005";"invierno";"0.6";"73";"2400";"73";"1.6";"7";"8.1";"13.5";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas"
"5";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"9/8/2005";"2005";"invierno";"2.7";"24000";"930000";"24000";"1.3";"4.5";"8.2";"13.2";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"6";"Río Reconquista y Río Lujan";"Tigre";"TI004";"9/8/2005";"2005";"invierno";"2.8";"9300";"24000";"9300";"1.4";"4.3";"8";"13.6";"no se midió";"no se midió";"no se midió";"27";"Extremadamente deteriorada"
"7";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"9/8/2005";"2005";"invierno";"0.9";"1500";"24000";"1500";"1.6";"4.5";"8.3";"13.3";"no se midió";"no se midió";"no se midió";"38";"Extremadamente deteriorada"
"8";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"9/8/2005";"2005";"invierno";"0.7";"930";"4600";"930";"1.5";"3.9";"8.3";"13.2";"no se midió";"no se midió";"no se midió";"43";"Extremadamente deteriorada"
"9";"Canal Villanueva y Río Luján";"Tigre";"TI001";"9/8/2005";"2005";"invierno";"0.55";"230";"430";"230";"1.7";"5.3";"8";"13.5";"no se midió";"no se midió";"no se midió";"84";"Levemente deteriorada"
"10";"Espigón La Farola";"San Isidro";"SI021";"9/8/2005";"2005";"invierno";"1.7";"160000";"210000";"";"1.9";"12.7";"7.9";"15.5";"no se midió";"no se midió";"no se midió";"39";"Extremadamente deteriorada"
"11";"Reserva Ecológica";"San Isidro";"SI022";"9/8/2005";"2005";"invierno";"1.7";"2000";"11000";"no se midió";"4";"9.4";"8";"15";"no se midió";"no se midió";"no se midió";"55";"Muy deteriorada"
"12";"Playa Espigón de Pacheco";"San Isidro";"SI024";"9/8/2005";"2005";"invierno";"1.5";"41000";"220000";"no se midió";"4";"11.7";"7.7";"13.4";"no se midió";"no se midió";"no se midió";"40";"Extremadamente deteriorada"
"13";"Barrio El Ceibo";"VicenteLópez";"VL033";"9/8/2005";"2005";"invierno";"1.32";"4900";"28000";"600";"6.1";"9";"7.5";"13.3";"no se midió";"0.07";"0.33";"38";"Extremadamente deteriorada"
"14";"Puerto de Olivos Espigón";"VicenteLópez";"VL032";"9/8/2005";"2005";"invierno";"1.56";"3300";"17000";"1600";"4.4";"10.2";"7.4";"13";"no se midió";"0.06";"0.3";"40";"Extremadamente deteriorada"
"15";"Costa y Melo";"VicenteLópez";"VL031";"9/8/2005";"2005";"invierno";"no se midió";"1400";"1400";"no se midió";"no se midió";"9.1";"7.6";"12";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"16";"Reserva Ecológica-Playita";"CABA";"CA047";"9/8/2005";"2005";"invierno";"0.9";"2300";"7500";"930";"2.5";"4.2";"7.7";"25.7";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
"17";"Parque de los Niños";"CABA";"CA041";"9/8/2005";"2005";"invierno";"no se midió";"930";"4600";"430";"2.1";"4.8";"7.7";"13.9";"no se midió";"no se midió";"no se midió";"45";"Muy deteriorada"
"18";"Frente a la toma de agua AySA";"CABA";"CA043";"9/8/2005";"2005";"invierno";"no se midió";"4600";"110000";"4600";"2.4";"4.8";"7.8";"13.8";"no se midió";"no se midió";"no se midió";"30";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"9/8/2005";"2005";"invierno";"no se midió";"4600";"240000";"2400";"3.2";"5.3";"7.7";"13.2";"no se midió";"no se midió";"no se midió";"41";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CABA";"CA046";"9/8/2005";"2005";"invierno";"no se midió";"110000";"460000";"21000";"2";"3.7";"7.6";"13.4";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"21";"Reserva Ecológica-Playita";"CABA";"CA047";"9/8/2005";"2005";"invierno";"no se midió";"11000";"15000";"1500";"2.1";"6.2";"7.8";"14.7";"no se midió";"no se midió";"no se midió";"38";"Extremadamente deteriorada"
"22";"Espora";"Quilmes";"QU061";"9/8/2005";"2005";"invierno";"no se midió";"24000";"930000";"";"6.6";"12";"7.9";"13.1";"no se midió";"no se midió";"no se midió";"41";"Extremadamente deteriorada"
"23";"Naútico";"Quilmes";"QU062";"9/8/2005";"2005";"invierno";"no se midió";"93000";"430000";"";"1.8";"12";"7.8";"no se midió";"no se midió";"no se midió";"no se midió";"39";"Extremadamente deteriorada"
"24";"Pejerrey Club";"Quilmes";"QU063";"9/8/2005";"2005";"invierno";"no se midió";"43000";"930000";"no se midió";"8";"12.1";"7.8";"13.1";"no se midió";"no se midió";"no se midió";"40";"Extremadamente deteriorada"
"25";"Prefectura Isla Santiago";"Ensenada";"EN084";"9/8/2005";"2005";"invierno";"no se midió";"5000";"8000";"no se midió";"no se midió";"9.1";"7.6";"13.4";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"26";"Toma de agua Club de Pesca";"Ensenada";"EN082";"9/8/2005";"2005";"invierno";"0.51";"700";"22000";"600";"4.6";"10.8";"7.5";"12.8";"no se midió";"0.06";"0.3";"52";"Muy deteriorada"
"27";"Espora";"Quilmes";"QU061";"9/8/2005";"2005";"invierno";"no se midió";"24000";"930000";"";"6.6";"12";"7.9";"13.1";"no se midió";"no se midió";"no se midió";"41";"Extremadamente deteriorada"
"28";"Naútico";"Quilmes";"QU062";"9/8/2005";"2005";"invierno";"no se midió";"93000";"430000";"";"1.8";"12";"7.8";"no se midió";"no se midió";"no se midió";"no se midió";"39";"Extremadamente deteriorada"
"29";"Pejerrey Club";"Quilmes";"QU063";"9/8/2005";"2005";"invierno";"no se midió";"43000";"930000";"";"8";"12.1";"7.8";"13.1";"no se midió";"no se midió";"no se midió";"40";"Extremadamente deteriorada"
"30";"Prefectura Isla Santiago";"Ensenada";"EN084";"9/8/2005";"2005";"invierno";"no se midió";"5000";"8000";"no se midió";"no se midió";"9.1";"7.6";"13.4";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"31";"Toma de agua Club de Pesca";"Ensenada";"EN082";"9/8/2005";"2005";"invierno";"0.51";"700";"22000";"600";"4.6";"10.8";"7.5";"12.8";"no se midió";"0.06";"0.3";"52";"Muy deteriorada"
"1";"Río Capitán y Río San Antonio";"Tigre";"TI008";"15/11/2005";"2005";"primavera";"6.8";"1";"150";"4300";"150";"";"1.6";"7.6";"25.4";"no se midió";"no se midió";"24";"Extremadamente deteriorada"
"2";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"15/11/2005";"2005";"primavera";"1";"1500";"7500";"1500";"1.3";"5.8";"7.3";"25.6";"no se midió";"no se midió";"no se midió";"50";"Muy deteriorada"
"3";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"15/11/2005";"2005";"primavera";"1";"43000";"150000";"43000";"1.6";"3.8";"7.3";"25.5";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"4";"Río Tigre y Río Lujan";"Tigre";"TI005";"15/11/2005";"2005";"primavera";"1.5";"430000";"430000";"430000";"0.9";"2.8";"6.8";"25.7";"no se midió";"no se midió";"no se midió";"24";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"15/11/2005";"2005";"primavera";"2.1";"15000";"230000";"15000";"1.7";"3.8";"7.1";"24.7";"no se midió";"no se midió";"no se midió";"26";"Extremadamente deteriorada"
"6";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"15/11/2005";"2005";"primavera";"1";"39";"23000";"3";"1.1";"5.2";"7.2";"24.5";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas"
"7";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"15/11/2005";"2005";"primavera";"5.1";"43000";"430000";"7300";"0.9";"3.8";"7.2";"24.9";"no se midió";"no se midió";"no se midió";"25";"Extremadamente deteriorada"
"8";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"15/11/2005";"2005";"primavera";"0.55";"43000";"430000";"23000";"1.4";"6.4";"7.8";"24.1";"no se midió";"no se midió";"no se midió";"35";"Extremadamente deteriorada"
"9";"Canal Villanueva y Río Luján";"Tigre";"TI001";"15/11/2005";"2005";"primavera";"0.4";"930";"2400";"930";"1.7";"6.5";"8.1";"24.8";"no se midió";"no se midió";"no se midió";"56";"Muy deteriorada"
"10";"Reserva Ecológica";"San Isidro";"SI022";"15/11/2005";"2005";"primavera";"no se midió";"45";"68";"4";"7.3";"7.6";"25.6";"";"no se midió";"no se midió";"no se midió";"77";"Deteriorada"
"11";"Barrio El Ceibo";"VicenteLópez";"VL033";"16/11/2005";"2005";"primavera";"0.53";"3300";"54000";"5000";"3.5";"2.7";"7.3";"26.3";"160";"0.05";"0.24";"28";"Extremadamente deteriorada"
"12";"Puerto de Olivos Espigón";"VicenteLópez";"VL032";"16/11/2005";"2005";"primavera";"0.31";"3300";"160000";"9000";"3.8";"3.7";"7.3";"25.6";"157";"0.09";"0.23";"26";"Extremadamente deteriorada"
"13";"Costa y Melo";"VicenteLópez";"VL031";"16/11/2005";"2005";"primavera";"0.49";"4900";"92000";"5400";"3.4";"5.2";"7.5";"25.6";"152";"0.11";"0.23";"35";"Extremadamente deteriorada"
"14";"Parque de los Niños";"CABA";"CA041";"16/11/2005";"2005";"primavera";"0.7";"8300";"93000";"4300";"3";"8.8";"7.7";"25.7";"no se midió";"no se midió";"no se midió";"38";"Extremadamente deteriorada"
"15";"Club de Pescadores";"CABA";"CA046";"16/11/2005";"2005";"primavera";"1.2";"23000";"460000";"23000";"2.2";"2";"7.5";"25.7";"no se midió";"no se midió";"no se midió";"26";"Extremadamente deteriorada"
"16";"Frente a la toma de agua AySA";"CABA";"CA043";"16/11/2005";"2005";"primavera";"0.7";"43";"43000";"43";"2.7";"4.3";"7.3";"25.7";"no se midió";"no se midió";"no se midió";"84";"Levemente deteriorada"
"17";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"16/11/2005";"2005";"primavera";"0.9";"4300";"23000";"4300";"2.6";"3.9";"7.3";"24.8";"no se midió";"no se midió";"no se midió";"30";"Extremadamente deteriorada"
"18";"Escollera de Propaneros";"Avellaneda";"AV054";"15/11/2005";"2005";"primavera";"1.3";"700";"7900";"no se midió";"3";"no se midió";"7.7";"26.2";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"19";"Arroyo Santo Domingo";"Avellaneda";"AV053";"15/11/2005";"2005";"primavera";"1.39";"700";"7900";"";"4.7";"no se midió";"7.9";"24.7";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"20";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"15/11/2005";"2005";"primavera";"0.3";"";"800";"";"4.4";"no se midió";"7.9";"23.8";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"21";"Arroyo Sarandí";"Avellaneda";"AV052";"15/11/2005";"2005";"primavera";"1.75";"1700";"17000";"";"4.2";"no se midió";"7.8";"25.7";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"22";"Costa de Villa Domínico";"Avellaneda";"AV055";"15/11/2005";"2005";"primavera";"1.28";"no se midió";"no se midió";"no se midió";"4.5";"no se midió";"7.8";"24.6";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"23";"Espora";"Quilmes";"QU061";"16/11/2005";"2005";"primavera";"no se midió";"2400";"930000";"";"10.1";"9";"no se midió";"24";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"24";"Naútico";"Quilmes";"QU062";"16/11/2005";"2005";"primavera";"no se midió";"1100";"11000";"";"9.8";"13.7";"no se midió";"24";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"25";"Pejerrey Club";"Quilmes";"QU063";"16/11/2005";"2005";"primavera";"0.71";"";"7270";"2247";"2.1";"";"7.4";"no se midió";"no se midió";"no se midió";"0.21";"pocas variables";"sin poder calcular Índice"
"26";"Prefectura Isla Santiago";"Ensenada";"EN084";"15/11/2005";"2005";"primavera";"no se midió";"24000";"24000";"no se midió";"no se midió";"9.3";"7.5";"23";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"27";"Toma de agua Club de Pesca";"Ensenada";"EN082";"15/11/2005";"2005";"primavera";"no se midió";"800";"1100";"no se midió";"no se midió";"10";"7.3";"22.4";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
