"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"1";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"27/8/2014";"2014";"invierno";"16";"8.49";"7.45";"2300";"< 300";"< 300";"1.5";"0.3";"35";"86";"Levemente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"27/8/2014";"2014";"invierno";"16";"8.02";"7.45";"15000";"< 300";"< 300";"17";"1.3";"20";"69";"Deteriorada"
"3";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"27/8/2014";"2014";"invierno";"16";"8.47";"7.43";"1500";"< 300";"< 300";"1.5";"2";"28";"65";"Deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"27/8/2014";"2014";"invierno";"15";"8.05";"7.48";"4800";"900";"< 300";"10";"1";"27";"63";"Muy deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"27/8/2014";"2014";"invierno";"15";"8.41";"7.53";"9300";"< 300";"< 300";"64";"1.25";"28";"69";"Deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"27/8/2014";"2014";"invierno";"12";"8.58";"6.92";"4800";"< 300";"< 300";"4.5";"1.25";"29";"57";"Muy deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"27/8/2014";"2014";"invierno";"14";"8.05";"7.51";"4800";"400";"< 300";"41";"1.6";"22";"66";"Deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"27/8/2014";"2014";"invierno";"16";"8.89";"7.42";"900";"< 300";"< 300";"1.8";"0.2";"17";"72";"Deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"27/8/2014";"2014";"invierno";"14";"8.75";"7.42";"900";"< 300";"< 300";"13";"0.2";"22";"72";"Deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"27/8/2014";"2014";"invierno";"15";"8.19";"7.77";"24000";"700";"< 300";"9";"0.9";"22";"66";"Deteriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"27/8/2014";"2014";"invierno";"13";"9.18";"7.82";"24000";"400";"400";"3.5";"1.1";"23";"56";"Muy deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"27/8/2014";"2014";"invierno";"13";"8.81";"7.91";"46000";"< 300";"< 300";"9.5";"1.4";"27";"56";"Muy deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"27/8/2014";"2014";"invierno";"13";"8.97";"7.89";"12000";"< 300";"< 300";"2.5";"1";"28";"57";"Muy deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"27/8/2014";"2014";"invierno";"13";"3.6";"7.84";"15000";"700";"700";"25";"4.1";"20";"45";"Muy deteriorada"
"15";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"27/8/2014";"2014";"invierno";"14";"8";"7.47";"24000";"< 300";"< 300";"16";"1.3";"31";"69";"Deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"27/8/2014";"2014";"invierno";"13";"7.6";"7.54";"46000";"< 300";"< 300";"19";"1.3";"26";"69";"Deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"27/8/2014";"2014";"invierno";"13";"8.8";"7.54";"2800";"< 300";"< 300";"26";"0.7";"30";"58";"Muy deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"19";"Mirador toma de agua";"CABA";"CA043";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"20";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"21";"Club de Pescadores";"CABA";"CA046";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"22";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"23";"Escollera de Propaneros";"Avellaneda";"AV054";"27/8/2014";"2014";"invierno";"15";"8.15";"7.9";"110000";"9300";"900";"5.5";"3";"36";"42";"Extremadamente deteriorada"
"24";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"27/8/2014";"2014";"invierno";"15";"7.49";"7.9";"15000";"9300";"2300";"3.5";"8";"30";"41";"Extremadamente deteriorada"
"25";"Arroyo Sarandí";"Avellaneda";"AV052";"27/8/2014";"2014";"invierno";"15";"6.36";"7.8";"110000";"24000";"1500";"23";"5";"28";"31";"Extremadamente deteriorada"
"26";"Costa de Villa Domínico";"Avellaneda";"AV055";"27/8/2014";"2014";"invierno";"15";"5.72";"7.7";"110000";"110000";"700";"17";"3.8";"28";"30";"Extremadamente deteriorada"
"27";"Arroyo Santo Domingo";"Avellaneda";"AV053";"27/8/2014";"2014";"invierno";"15";"5.77";"7.8";"21000";"9300";"900";"2";"4";"23";"34";"Extremadamente deteriorada"
"28";"Espora 400 m";"Quilmes";"QU061";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"29";"Náutico 400 m";"Quilmes";"QU062";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"30";"Pejerrey Club 400 m";"Quilmes";"QU063";"27/8/2014";"2014";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"31";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"27/8/2014";"2014";"invierno";"12";"8.7";"";"46000";"9300";"900";"16";"1.8";"37";"28";"Extremadamente deteriorada"
"32";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"27/8/2014";"2014";"invierno";"13";"9.4";"";"9300";"4800";"900";"3.5";"1.5";"32";"31";"Extremadamente deteriorada"
"33";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"27/8/2014";"2014";"invierno";"11";"9.2";"";"46000";"4800";"< 300";"16";"0.9";"41";"32";"Extremadamente deteriorada"
"34";"Camping Eva Perón";"Ensenada";"EN081";"27/8/2014";"2014";"invierno";"11";"9.59";"7.85";"110000";"4800";"< 300";"4";"3";"27";"37";"Extremadamente deteriorada"
