"orden";"sitio";"gobierno_local";"codigo";"fecha";"año";"campaña";"amonio_mg_l";"colif_fecales_nmp_100ml";"colif_totales_nmp_100ml";"escher_coli_nmp_100ml";"nitratos_mg_l";"oxigeno_disuelto";"ph";"temperatura_ºc";"solidos_disueltos_mg_l";"fosforo_total_mg_l";"conductividad_ms_cm";"ica";"clase_ica"
"20";"Reserva Ecológica-Playita";"CABA";"CA047";"23/9/2004";"2004";"primavera";"no se midió";"23";"930";"no se midió";"no se midió";"no se midió";"7.80";"16.30";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"21";"Arroyo Sarandí";"Avellaneda";"AV052";"23/9/2004";"2004";"primavera";"no se midió";"no se midió";"2300";"no se midió";"no se midió";"6.90";"7.80";"18.90";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"22";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"23/9/2004";"2004";"primavera";"no se midió";"14000";"4300000";"no se midió";"14.52";"2.30";"7.30";"16.70";"no se midió";"no se midió";"no se midió";"32";"Extremadamente deteriorada"
"23";"Prefectura Isla Santiago";"Ensenada";"EN084";"5/10/2004";"2004";"primavera";"no se midió";"240";"23000";"no se midió";"no se midió";"no se midió";"7.50";"17.50";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"24";"Toma de agua Club de Pesca";"Ensenada";"EN082";"23/9/2004";"2004";"primavera";"0.12";"1900";"8450";"2450";"no se midió";"4.39";"7.31";"20.30";"148.00";"0.31";"0.31";"28";"Extremadamente deteriorada"
"25";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"10/12/2004";"2004";"primavera";"0.06";"3";"4600";"0";"5";"6.3";"7.8";"25.2";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas (6)"
"26";"Río Capitán y Río San Antonio";"Tigre";"TI008";"10/12/2004";"2004";"primavera";"0.05";"3";"2400";"0";"5.00";"7.10";"8.10";"27.00";"no se midió";"no se midió";"no se midió";"100";"Apta de acuerdo a las variables analizadas (6)"
"27";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"10/12/2004";"2004";"primavera";"6.65";"9000";"43000";"0";"5.00";"4.80";"8.00";"26.50";"no se midió";"no se midió";"no se midió";"34";"Extremadamente deteriorada"
"28";"Río Tigre y Río Lujan";"Tigre";"TI005";"10/12/2004";"2004";"primavera";"0.22";"930000";"4600000";"0";"5.00";"2.80";"8.30";"23.30";"no se midió";"no se midió";"no se midió";"36";"Extremadamente deteriorada"
"29";"Río Reconquista y Río Lujan";"Tigre";"TI004";"10/12/2004";"2004";"primavera";"1.64";"300";"46000";"0";"5.00";"4.30";"8.10";"24.50";"no se midió";"no se midió";"no se midió";"55";"Muy deteriorada"
"30";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"10/12/2004";"2004";"primavera";"0.36";"3";"24000";"0";"5.00";"4.50";"8.70";"24.20";"no se midió";"no se midió";"no se midió";"73";"Deteriorada"
"31";"Canal Aliviador y Río Lujan";"Tigre";"TI002";"10/12/2004";"2004";"primavera";"0.65";"400";"11000";"0";"5.00";"4.90";"8.70";"26.10";"no se midió";"no se midió";"no se midió";"45";"Muy deteriorada"
"32";"Río Lujan y Arroyo Caraguatá";"Tigre";"TI006";"10/12/2004";"2004";"primavera";"0.38";"300";"24000";"0";"5.30";"5.50";"8.20";"25.30";"no se midió";"no se midió";"no se midió";"86";"Levemente deteriorada"
"33";"Canal Villa Nueva y Río Luján";"Tigre";"TI001";"10/12/2004";"2004";"primavera";"0.05";"3";"2400";"0";"5.00";"5.70";"8.60";"25.70";"no se midió";"no se midió";"no se midió";"86";"Levemente deteriorada"
"34";"Espigón La Farola";"San Isidro";"SI021";"7/12/2004";"2004";"primavera";"0.21";"3000";"3000";"no se midió";"4.00";"9.00";"7.90";"31.80";"no se midió";"no se midió";"no se midió";"54";"Muy deteriorada"
"35";"Reserva Ecógica";"San Isidro";"SI022";"7/12/2004";"2004";"primavera";"0.25";"28000";"28000";"no se midió";"3.60";"6.50";"7.70";"28.80";"no se midió";"no se midió";"no se midió";"42";"Extremadamente deteriorada"
"36";"Pacheco";"San Isidro";"SI024";"7/12/2004";"2004";"primavera";"no se midió";"no se midió";"40000";"no se midió";"no se midió";"15.40";"8.20";"25.50";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"37";"Barrio El Ceibo";"Vicente López";"VL033";"7/12/2004";"2004";"primavera";"0.00";"900";"900";"no se midió";"2.90";"7.00";"7.80";"27.60";"no se midió";"0.15";"0.28";"57";"Muy deteriorada"
"38";"Puerto de Olivos Espigón";"Vicente López";"VL032";"7/12/2004";"2004";"primavera";"0.00";"2300";"4300";"no se midió";"2.70";"5.00";"7.40";"25.90";"no se midió";"0.29";"0.27";"47";"Muy deteriorada"
"39";"Costa y Melo";"Vicente López";"VL031";"7/12/2004";"2004";"primavera";"0.00";"2300";"4300";"no se midió";"1.90";"7.70";"7.20";"26.10";"no se midió";"0.15";"0.27";"50";"Muy deteriorada"
"40";"Parque de los Niños";"CABA";"CA041";"7/12/2004";"2004";"primavera";"0.12";"1200";"4267";"0";"no se midió";"3.16";"7.60";"27.80";"115.00";"0.25";"0.24";"42";"Extremadamente deteriorada"
"41";"Club de Pescadores";"CABA";"CA046";"7/12/2004";"2004";"primavera";"0.34";"9633";"14800";"7567";"no se midió";"3.40";"07.02";"24.20";"121.00";"0.27";"0.25";"24";"Extremadamente deteriorada"
"42";"Frente a la toma de agua AySA";"CABA";"CA043";"7/12/2004";"2004";"primavera";"0.06";"11400";"16900";"5567";"no se midió";"3.37";"7.18";"25.10";"112.00";"0.23";"0.23";"24";"Extremadamente deteriorada"
"43";"Costanera Norte - Espigon Abanico";"CABA";"CA044";"7/12/2004";"2004";"primavera";"0.92";"9600";"13033";"5033";"no se midió";"3.49";"7.38";"27.20";"108.00";"0.20";"0.23";"14";"Extremadamente deteriorada"
"44";"Reserva Ecológica-Playita";"CABA";"CA047";"7/12/2004";"2004";"primavera";"0.36";"900";"2100";"900";"no se midió";"3.25";"7.38";"31.20";"113.00";"0.21";"0.24";"33";"Extremadamente deteriorada"
"45";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"7/12/2004";"2004";"primavera";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"4.30";"7.10";"27.30";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"46";"Escollera de Propaneros";"Avellaneda";"AV054";"7/12/2004";"2004";"primavera";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"8.20";"7.20";"27.20";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"47";"Arroyo Santo Domingo";"Avellaneda";"AV053";"7/12/2004";"2004";"primavera";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"12.00";"7.40";"26.20";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"48";"Calle 14";"Berazategui";"BZ078";"7/12/2004";"2004";"primavera";"0.19";"210000";"210000";"no se midió";"2.60";"6.70";"7.80";"28.10";"no se midió";"no se midió";"no se midió";"40";"Extremadamente deteriorada"
"49";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"7/12/2004";"2004";"primavera";"no se midió";"1100";"46000";"no se midió";"7.92";"no se midió";"6.20";"8.00";"25.90";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
"50";"Toma de agua Club de Pesca";"Ensenada";"EN082";"7/12/2004";"2004";"primavera";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"12.10";"7.30";"25.70";"no se midió";"no se midió";"no se midió";"pocas variables";"sin poder calcular Índice"
