"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"Tigre";"TI003";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"30000";"200";"100";"4.4";"<0.05";"18";"79";"Deteriorada"
"5";"Río Reconquista y Río Lujan";"Tigre";"TI004";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"280000";"6000";"4000";"4.4";"0.3";"48";"32";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"Tigre";"TI005";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"240000";"7500";"7000";"4.4";"0.77";"60";"17";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"Tigre";"TI007";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"48000";"1000";"700";"4.9";"0.29";"10";"42";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"64000";"200";"99";"4.4";"<0.05";"14";"79";"Deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"100000";"1000";"99";"4.4";"<0.05";"71";"60";"Muy deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"120000";"2000";"200";"5.8";"0.27";"<10";"40";"Extremadamente deteriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"22/6/2016";"2016";"otoño";"12.5";"9.19";"7.97";"11000";"200";"100";"5.3";"0.23";"14";"88";"Levemente deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"22/6/2016";"2016";"otoño";"12.8";"8.7";"7.88";"63000";"1000";"100";"4.9";"0.24";"10";"72";"Deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"22/6/2016";"2016";"otoño";"15";"9.35";"8.31";"140000";"15000";"100";"10.6";"0.26";"<10";"45";"Muy deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"22/6/2016";"2016";"otoño";"18";"0.66";"7.83";"30000";"2500";"700";"4.4";"1.44";"60";"34";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"22/6/2016";"2016";"otoño";"12.3";"9";"8";"28000";"2500";"2100";"8.9";"0.22";"37";"47";"Muy deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"22/6/2016";"2016";"otoño";"12";"7.4";"7.62";"75000";"2000";"1900";"8";"0.26";"37";"49";"Muy deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"22/6/2016";"2016";"otoño";"12";"8.9";"8.41";"150000";"5000";"4700";"12.8";"0.27";"33";"43";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"22/6/2016";"2016";"otoño";"13.5";"10.35";"8.05";"22000";"3000";"3000";"<1";"0.54";"134";"39";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"22/6/2016";"2016";"otoño";"12.5";"7.2";"7.83";"20000";"2500";"2500";"<1";"0.81";"121";"40";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CABA";"CA046";"22/6/2016";"2016";"otoño";"14.5";"10.73";"7.77";"950000";"98000";"98000";"<1";"1.09";"225";"33";"Extremadamente deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CABA";"CA047";"22/6/2016";"2016";"otoño";"14.1";"10.26";"8.31";"500000";"11000";"11000";"<1";"4.75";"79";"34";"Extremadamente deteriorada"
"22";"Escollera de Propaneros";"Avellaneda";"AV054";"22/6/2016";"2016";"otoño";"23.4";"7.35";"6.91";"320000";"40000";"2300";"5.8";"0.69";"44";"34";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"Avellaneda";"AV051";"22/6/2016";"2016";"otoño";"15.5";"6.45";"7.27";"360000";"12000";"1800";"15.9";"0.86";"67";"36";"Extremadamente deteriorada"
"24";"Arroyo Sarandí";"Avellaneda";"AV052";"22/6/2016";"2016";"otoño";"16.6";"2.05";"7.33";"600000";"50000";"7000";"4.9";"1.03";"33";"27";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"Avellaneda";"AV055";"22/6/2016";"2016";"otoño";"14.4";"4.43";"7.51";"50000";"3500";"2200";"4.9";"1.05";"125";"32";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"Avellaneda";"AV053";"22/6/2016";"2016";"otoño";"13.4";"5.34";"7.45";"420000";"7000";"600";"4.9";"1.03";"48";"38";"Extremadamente deteriorada"
"27";"Espora 400 m";"Quilmes";"QU061";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"150000";"5000";"1300";"6.6";"0.76";"75";"19";"Extremadamente deteriorada"
"28";"Náutico 400 m";"Quilmes";"QU062";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"30000";"2500";"1000";"7.5";"0.67";"67";"21";"Extremadamente deteriorada"
"29";"Pejerrey Club 400 m";"Quilmes";"QU063";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"40000";"5000";"600";"6.6";"0.65";"52";"20";"Extremadamente deteriorada"
"30";"Calle 14 y Costa - Salida cloaca";"Berazategui";"BZ078";"22/6/2016";"2016";"otoño";"11.2";"10.6";"no se midió";"240000";"1500";"600";"15.9";"1";"129";"43";"Extremadamente deteriorada"
"31";"Puerto Trinidad calle 47";"Berazategui";"BZ077";"22/6/2016";"2016";"otoño";"10.9";"10.7";"no se midió";"24000";"500";"99";"14.2";"0.1";"21";"79";"Deteriorada"
"32";"Costanera Hudson Calle 63";"Berazategui";"BZ080";"22/6/2016";"2016";"otoño";"10";"10.9";"no se midió";"38000";"1500";"500";"9.7";"0.33";"25";"53";"Muy deteriorada"
"33";"Camping Eva Perón";"Ensenada";"EN081";"22/6/2016";"2016";"otoño";"9.3";"11.66";"8.3";"44000";"3000";"500";"10.2";"0.14";"14";"50";"Muy deteriorada"
"34";"Toma de agua Club de Pesca";"Ensenada";"EN082";"22/6/2016";"2016";"otoño";"10.1";"9.5";"7.77";"18000";"500";"100";"9.7";"0.37";"18";"81";"Levemente deteriorada"
"35";"Arroyo El Gato";"Ensenada";"EN083";"22/6/2016";"2016";"otoño";"no se midió";"no se midió";"no se midió";"36000";"1000";"99";"7.5";"0.99";"52";"46";"Muy deteriorada"
"36";"Ensenada Prefectura Isla Santiago";"Ensenada";"EN084";"22/6/2016";"2016";"otoño";"10.4";"8.3";"7.68";"36000";"1500";"400";"6.6";"0.65";"44";"50";"Muy deteriorada"
