orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
18,club de pescadores,ca046,13/11/2013,2013,primavera,25.4,,5.26,7.27,,,,,19.000,14.000,,6.0,2.6,,,,134.0,,,,,,,34.0,extremadamente deteriorada
19,reserva ecola3gica costanera sur - playita,ca047,13/11/2013,2013,primavera,25.6,,6.06,7.59,,,,,3.100,2.300,,5.0,1.1,,,,93.0,,,,,,,40.0,extremadamente deteriorada
20,escollera de propaneros,av054,13/11/2013,2013,primavera,23.93,,5.04,7.54,,,,,,,,12.7,1.295,,,,76.0,,,,,,,,
21,polo petroquamico dock sud,av051,13/11/2013,2013,primavera,23.0,,5.74,7.6,,,,,,,,13.3,1.174,,,,63.0,,,,,,,,
22,arroyo saranda,av052,13/11/2013,2013,primavera,22.0,,5.53,7.75,,,,,,,,9.9,0.887,,,,58.0,,,,,,,,
23,costa de villa domanico,av055,13/11/2013,2013,primavera,22.56,,5.67,7.78,,,,,,,,13.3,1.057,,,,73.0,,,,,,,,
24,arroyo santo domingo,av053,13/11/2013,2013,primavera,22.46,,5.81,7.85,,,,,,,,10.1,1.922,,,,77.0,,,,,,,,
25,espora 400 m,qu061,13/11/2013,2013,primavera,22.1,,5.78,7.25,,,,,,,,7.2,0.294,,,,66.0,,,,,,,,
26,nautico 400 m,qu062,13/11/2013,2013,primavera,21.9,,5.87,7.43,,,,,,,,7.09,0.338,,,,68.0,,,,,,,,
27,pejerrey club 400 m,qu063,13/11/2013,2013,primavera,21.6,,6.75,7.49,,,,,,,,7.43,0.082,,,,68.0,,,,,,,,
