orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
18;Parque de los Niños;CA041;22/6/2016;2016;oto�o;13.5;;10.35;8.05;;;;;3000;3000;;<1;0.54;;;;134;;;;;;;39;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;22/6/2016;2016;oto�o;12.5;;7.2;7.83;;;;;2500;2500;;<1;0.81;;;;121;;;;;;;40;Extremadamente deteriorada
20;Club de Pescadores;CA046;22/6/2016;2016;oto�o;14.5;;10.73;7.77;;;;;98000;98000;;<1;1.09;;;;225;;;;;;;33;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;22/6/2016;2016;oto�o;14.1;;10.26;8.31;;;;;11000;11000;;<1;4.75;;;;79;;;;;;;34;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;22/6/2016;2016;oto�o;23.4;;7.35;6.91;;;;;40000;2300;;5.8;0.69;;;;44;;;;;;;34;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;22/6/2016;2016;oto�o;15.5;;6.45;7.27;;;;;12000;1800;;15.9;0.86;;;;67;;;;;;;36;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;22/6/2016;2016;oto�o;16.6;;2.05;7.33;;;;;50000;7000;;4.9;1.03;;;;33;;;;;;;27;Extremadamente deteriorada
25;Costa de Villa Domínico;AV055;22/6/2016;2016;oto�o;14.4;;4.43;7.51;;;;;3500;2200;;4.9;1.05;;;;125;;;;;;;32;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;22/6/2016;2016;oto�o;13.4;;5.34;7.45;;;;;7000;600;;4.9;1.03;;;;48;;;;;;;38;Extremadamente deteriorada
27;Espora 400 m;QU061;22/6/2016;2016;oto�o;;;;;;;;;5000;1300;;6.6;0.76;;;;75;;;;;;;19;Extremadamente deteriorada
28;Náutico 400 m;QU062;22/6/2016;2016;oto�o;;;;;;;;;2500;1000;;7.5;0.67;;;;67;;;;;;;21;Extremadamente deteriorada
29;Pejerrey Club 400 m;QU063;22/6/2016;2016;oto�o;;;;;;;;;5000;600;;6.6;0.65;;;;52;;;;;;;20;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;22/6/2016;2016;oto�o;11.2;;10.6; ;;;;;1500;600;;15.9;1;;;;129;;;;;;;43;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;22/6/2016;2016;oto�o;10.9;;10.7; ;;;;;500;99;;14.2;0.1;;;;21;;;;;;;79;Deteriorada
32;Costanera Hudson Calle 63;BZ080;22/6/2016;2016;oto�o;10;;10.9; ;;;;;1500;500;;9.7;0.33;;;;25;;;;;;;53;Muy deteriorada
33;Camping Eva Perón;EN081;22/6/2016;2016;oto�o;9.3;;11.66;8.3;;;;;3000;500;;10.2;0.14;;;;14;;;;;;;50;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;22/6/2016;2016;oto�o;10.1;;9.5;7.77;;;;;500;100;;9.7;0.37;;;;18;;;;;;;81;Levemente deteriorada
35;Arroyo El Gato;EN083;22/6/2016;2016;oto�o;;;;;;;;;1000;99;;7.5;0.99;;;;52;;;;;;;46;Muy deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;22/6/2016;2016;oto�o;10.4;;8.3;7.68;;;;;1500;400;;6.6;0.65;;;;44;;;;;;;50;Muy deteriorada
37;Diagonal 66 (descarga cloaca);BS095;22/6/2016;2016;oto�o;;;;;;;;;25000;20000;;13.3;1.82;;;;87;;;;;;;16;Extremadamente deteriorada
38;Balneario Municipal;BS094;22/6/2016;2016;oto�o;;;;;;;;;400;300;;7.5;0.98;;;;71;;;;;;;32;Extremadamente deteriorada
39;Playa La Balandra;BS093;22/6/2016;2016;oto�o;;;;;;;;;1000;99;;4.4;<0.05;;;;52;;;;;;;60;Muy deteriorada
1;Canal Villa Nueva y Río Luján;TI001;15/9/2016;2016;invierno;;;;;;;;;3200;900;;3.1;0.077;;;;34;;;;;;;35;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;15/9/2016;2016;invierno;;;;;;;;;5600;2000;;3.1;0.45;;;;44;;;;;;;33;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;15/9/2016;2016;invierno;;;;;;;;;11000;4500;;3.5;0.45;;;;43;;;;;;;31;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;15/9/2016;2016;invierno;;;;;;;;;3400;1000;;2.7;0.27;;;;31;;;;;;;35;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;TI004;15/9/2016;2016;invierno;;;;;;;;;8000;1800;;3.1;0.501;;;;34;;;;;;;18;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;15/9/2016;2016;invierno;;;;;;;;;9000;7000;;3.1;0.463;;;;40;;;;;;;31;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;15/9/2016;2016;invierno;;;;;;;;;8200;6600;;3.5;0.501;;;;34;;;;;;;17;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;15/9/2016;2016;invierno;;;;;;;;;8000;5200;;2.7;0.476;;;;37;;;;;;;31;Extremadamente deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;15/9/2016;2016;invierno;;;;;;;;;5200;2100;;3.5;0.27;;;;23;;;;;;;33;Extremadamente deteriorada
10;Del Arca;SF015;15/9/2016;2016;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
