orden;sitios;codigo;fecha;A駉;Campa馻;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
28;N谩utico 400 m;QU062;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
29;Pejerrey Club 400 m;QU063;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;3/6/2015;2015;oto駉;17.1;;5.45;7.32;;;;;;;;;;;;;;;;;;;;;
31;Puerto Trinidad calle 47;BZ077;No se muestre贸;2015;oto駉;;;;;;;;;;;;;;;;;;;;;;;;;
32;Costanera Hudson Calle 63;BZ080;3/6/2015;2015;oto駉;16.8;;8.27;7;;;;;;;;;;;;;;;;;;;;;
33;Camping Eva Per贸n;EN081;3/6/2015;2015;oto駉;16.1;;9.82;8.42;;;;;;;;;;;;;;;;;;;;;
34;Toma de agua Club de Pesca;EN082;3/6/2015;2015;oto駉;16.6;;8.65;8.15;;;;;;;;;;;;;;;;;;;;;
35;Arroyo El Gato;EN083;3/6/2015;2015;oto駉;16.9;;0.98;7.64;;;;;;;;;;;;;;;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;3/6/2015;2015;oto駉;16.6;;8.07;7.88;;;;;;;;;;;;;;;;;;;;;
37;Diagonal 66 (descarga cloaca);BS095;3/6/2015;2015;oto駉;17.1;;5.83;7.3;;;;;;;;;;;;;;;;;;;;;
38;Playa Municipal;BS094;3/6/2015;2015;oto駉;15.5;;7.45;7.89;;;;;;;;;;;;;;;;;;;;;
39;Playa La Balandra;BS093;3/6/2015;2015;oto駉;15;;7.67;7.48;;;;;;;;;;;;;;;;;;;;;
1;Canal Villa Nueva y R铆o Luj谩n;TI001;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
2;R铆o Lujan y Arroyo Caraguat谩;TI006;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
3;Canal Aliviador y R铆o Lujan;TI002;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
4;R铆o Carapachay y Arroyo Gallo Fiambre;TI003;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
5;R铆o Reconquista y R铆o Lujan;TI004;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
6;Rio Tigre 100m antes del Rio Luj谩n;TI005;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
7;R铆o Lujan y Canal San Fernando;TI007;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
8;R铆o Capit谩n y R铆o San Antonio;TI008;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
10;Del Arca;SF015;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
11;Espig贸n La Farola;SI021;2/9/2015;2015;invierno;15.6;;8.88;8.16;;;;;;;;;;;;;;;;;;;;;
12;Reserva Ecol贸gica;SI022;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
13;Playa Espig贸n de Pacheco;SI024;No se muestre贸;2015;invierno;;;;;;;;;;;;;;;;;;;;;;;;;
