orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
21;Reserva Ecológica Costanera Sur - Playita;CA047;27/6/2018;2018;otoño;11.5;;7.8;7.7;;;;;670;530;340;1.9;1.8;;0.10;<5;<20;53;;0.03;0.002;<10;<0.5;58;Extremadamente deteriorada
22;Escollera de Propaneros;AV054;16/5/2018;2018;otoño;17.5;;3.39;6.3;ausencia;presencia;ausencia;ausencia;5200;1200;25;8.2;0.82;0.39;0.39;14;70;31;1020;<0.006;0.002;<10;<0.5;40;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;16/5/2018;2018;otoño;17.4;;5.3;6.4;presencia;ausencia;ausencia;ausencia;6000;1600;30;11.4;0.79;0.31;0.63;12;25;38;108;<0.006;0.002;<10;<0.5;42;Muy deteriorada
24;Arroyo Sarandí;AV052;16/5/2018;2018;otoño;17.6;;5.81;6.4;ausencia;ausencia;ausencia;ausencia;2200;300;<10;6.6;0.47;0.24;0.24;12;84;46;187;<0.006;0.002;<10;<0.5;58;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;16/5/2018;2018;otoño;17.5;;5.5;6.4;;;ausencia;ausencia;2000;600;15;7.1;0.62;0.23;0.63;12;68;47;105;<0.006;0.002;<10;<0.5;47;Muy deteriorada
26;Arroyo Santo Domingo;AV053;16/5/2018;2018;otoño;13.5;;5.07;6.5;;ausencia;ausencia;ausencia;2000;1100;20;7.3;0.79;0.29;0.29;12;17;36;175;<0.006;0.002;<10;<0.5;55;Muy deteriorada
27;Espora 400 m;QU061;16/5/2018;2018;otoño;16.5;;8.66;7.48;ausencia;presencia;presencia;ausencia;5000;1100;25;8.2;0.65;0.18;0.33;14;61;40;110;<0.006;0.002;<10;<0.5;48;Muy deteriorada
28;Náutico 400 m;QU062;16/5/2018;2018;otoño;16.9;;8.16;6.98;ausencia;presencia;presencia;ausencia;5200;1000;25;10.1;0.6;0.22;0.22;10;22;44;115;<0.006;0.002;<10;<0.5;51;Muy deteriorada
29;Pejerrey Club 400 m;QU063;16/5/2018;2018;otoño;15.6;;8.01;7.64;ausencia;presencia;presencia;ausencia;3600;500;<10;8.6;0.76;0.35;0.35;14;17;35;<50;<0.006;0.002;<10;<0.5;53;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;16/5/2018;2018;otoño;14.5;;6.29;7.48;ausencia;ausencia;presencia;ausencia;3200;800;20;15;0.74;0.48;0.48;10;17;39;236;<0.006;0.002;<10;<0.5;53;
