orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
20;Club de Pescadores;CA046;16/8/2017;2017;invierno;15.8;;3.7;7.5;;;;;3500;3500;;7;3;;;7;40; ;;;;;;;
21;Reserva Ecológica Costanera Sur - Playita;CA047;16/8/2017;2017;invierno;15.4;;4.6;7.7;;;;;600;500;;2;1.5;;;5;70; ;;;;;;;
22;Escollera de Propaneros;AV054;16/8/2017;2017;invierno;15.6;;5.22;6.3;;;;;4000;1000;;6.2;1.1;;;8;43;0.34;;;;;;;
23;Polo Petroquímico Dock Sud;AV051;16/8/2017;2017;invierno;16.1;;4.88;6.3;;;;;4000;2100;;7.09;1;;;8;26;<0.3;;;;;;;
24;Arroyo Sarandí;AV052;16/8/2017;2017;invierno;16.4;;2.3;6.4;;;;;1400;1200;;8.64;1;;;8;43;0.52;;;;;;;
25;Costa de Villa Domínico;AV055;16/8/2017;2017;invierno;16.4;;3.56;6.5;;;;;3400;1400;;5.32;1.2;;;10;40;<0.3;;;;;;;
26;Arroyo Santo Domingo;AV053;16/8/2017;2017;invierno;16.5;;3.71;6.5;;;;;2400;900;;7.09;1.1;;;5;14;1.38;;;;;;;
27;Espora 400 m;QU061;16/8/2017;2017;invierno;16;;5.8;7.09;;;;;6800;6400;;8.42;1.1;;;5;12;0.98;;;;;;;
28;Náutico 400 m;QU062;16/8/2017;2017;invierno;15.5;;7.52;7.44;;;;;1600;200;;6.87;0.6;;;2;88;0.83;;;;;;;
29;Pejerrey Club 400 m;QU063;16/8/2017;2017;invierno;16.1;;7.88;7.52;;;;;1000;100;;5.54;1;;;2;17;1.38;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;16/8/2017;2017;invierno;12.2;;7.22;7.83;;;;;14800;4500;;14.62;2.6;;;12;27;<0.3;;;;;;;
31;Puerto Trinidad calle 47;BZ077;16/8/2017;2017;invierno;12.9;;6.95;8.85;;;;;3000;2300;;12.4;1;;;8;56;<0.3;;;;;;;
32;Costanera Hudson Calle 63;BZ080;16/8/2017;2017;invierno;10.9;;7.65;7.27;;;;;1600;400;;9.75;0.5;;;5;30;<0.3;;;;;;;
33;Camping Eva Perón;EN081;16/8/2017;2017;invierno;14;;9.22;8.08;;;;;800;400;;10.41;0.6;;;5;24;1.04;;;;;;;
34;Toma de agua Club de Pesca;EN082;16/8/2017;2017;invierno;14;;8.22;7.96;;;;;400;200;;17.72;0.3;;;5;33;0.46;;;;;;;
35;Arroyo El Gato;EN083;16/8/2017;2017;invierno;14;;3.2;7.39;;;;;2400;1100;;13.73;1.2;;;24;35;0.55;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;16/8/2017;2017;invierno;14;;8.42;7.98;;;;;1800;99;;7.97;0.6;;;30;40;0.77;;;;;;;
37;Playa La Bagliardi;BS091;16/8/2017;2017;invierno; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
38;Balneario Municipal;BS094;16/8/2017;2017;invierno; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
39;Playa La Balandra;BS093;16/8/2017;2017;invierno; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
1;Canal Villa Nueva y Río Luján;TI001;22/11/2017;2017;primavera; ;;6.52;7.02;;;;;1000;600;;4.3;1.02;;;15;24;2.14;;;;;;;
2;Río Lujan y Arroyo Caraguatá;TI006;22/11/2017;2017;primavera; ;;5.98;6.8;;;;;100;99;;4.65;1.83;;;12;27;0.77;;;;;;;
3;Canal Aliviador y Río Lujan;TI002;22/11/2017;2017;primavera; ;;6.33;7.27;;;;;6400;4300;;2.97;3.11;;;12;17;2.85;;;;;;;
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;22/11/2017;2017;primavera; ;;7.15;7.03;;;;;2400;700;;4.12;0.91;;;20;27;1.04;;;;;;;
5;Río Reconquista y Río Lujan;TI004;22/11/2017;2017;primavera; ;;6.83;7;;;;;16400;9200;;3.37;5.44;;;20;27;2.14;;;;;;;
6;Rio Tigre 100m antes del Rio Luján;TI005;22/11/2017;2017;primavera; ;;5.89;7.21;;;;;45000;20000;;2.53;6.07;;;22;47;0.92;;;;;;;
7;Río Lujan y Canal San Fernando;TI007;22/11/2017;2017;primavera; ;;5.98;6.8;;;;;15000;14000;;3.68;5.22;;;10;24;1.41;;;;;;;
8;Río Capitán y Río San Antonio;TI008;22/11/2017;2017;primavera; ;;7.9;7.11;;;;;10000;3100;;4.3;0.95;;;13;17;1.16;;;;;;;
9;Arroyo Abra Vieja y Santa Rosa;TI009;22/11/2017;2017;primavera; ;;7.02;7.16;;;;;2000;1000;;3.81;1.7;;;12;46;1.01;;;;;;;
10;Del Arca;SF015;22/11/2017;2017;primavera;21.1;;4.78;7.31;;;;;2000;1500;;4.3;1.22;;;12;21;1.93;;;;;;;
11;Espigón La Farola;SI021;22/11/2017;2017;primavera;23;;7.03;7.45;;;;;800;300;;4.43;0.84;;;10;17;3;;;;;;;
12;Reserva Ecológica;SI022;22/11/2017;2017;primavera;22.7;;6.86;7.62;;;;;3600;200;;5.32;0.64;;;10;59;3.79;;;;;;;
13;Playa Espigón de Pacheco;SI024;22/11/2017;2017;primavera;25;;7.39;7.94;;;;;4000;3800;;7.97;0.73;;;12;25;1.81;;;;;;;
14;Perú Puente;SI023;22/11/2017;2017;primavera;22.4;;3.57;7.51;;;;;27500;13000;;4.87;2.34;;;14;30;0.55;;;;;;;
15;Reserva Barrio El Ceibo;VL033;22/11/2017;2017;primavera;21;;7.2;8.23;;;;;11200;7200;;11.52;1.41;;;16;37;1.47;;;;;;;
16;Puerto de Olivos Espigón;VL032;22/11/2017;2017;primavera;19.6;;7.1;7.56;;;;;25000;8000;;5.32;1.41;;;16;33;2.39;;;;;;;
17;Costa y Melo;VL031;22/11/2017;2017;primavera;19.6;;8.4;7.76;;;;;5000;4800;;9.75;0.41;;;30;53;1.22;;;;;;;
18;Parque de los Niños;CA041;22/11/2017;2017;primavera;20;;7.4;7.9;;;;;54000;54000;;7;0.9;;;8;35;no miden;;;;;;;
19;Costanera Norte - Espigón Abanico;CA044;22/11/2017;2017;primavera;19.4;;6.5;7.5;;;;;500;500;;13;0.77;;;5;42;no miden;;;;;;;
20;Club de Pescadores;CA046;22/11/2017;2017;primavera;20;;3;7.5;;;;;80000;80000;;14;5.14;;;9;25;no miden;;;;;;;
21;Reserva Ecológica Costanera Sur - Playita;CA047;22/11/2017;2017;primavera;19.1;;7.3;8.1;;;;;600;600;;5;0.26;;;5;38;no miden;;;;;;;
22;Escollera de Propaneros;AV054;22/11/2017;2017;primavera;20.1;;3.65;7.1;;;;;2400;2000;;4.34;1.63;;;26;70;1.81;;;;;;;
23;Polo Petroquímico Dock Sud;AV051;22/11/2017;2017;primavera;19.8;;6.07;6.9;;;;;6000;2200;;4.43;0.73;;;12;40;1.01;;;;;;;
24;Arroyo Sarandí;AV052;22/11/2017;2017;primavera;21;;4.26;6.9;;;;;600;600;;5.32;1.53;;;19;24;1.22;;;;;;;
25;Costa de Villa Domínico;AV055;22/11/2017;2017;primavera;20.3;;5.6;6.9;;;;;800;800;;6.2;1.26;;;17;24;1.32;;;;;;;
26;Arroyo Santo Domingo;AV053;22/11/2017;2017;primavera;20.8;;4.16;7;;;;;1200;500;;4.08;1.67;;;13;21;1.01;;;;;;;
27;Espora 400 m;QU061;22/11/2017;2017;primavera; ;; ; ;;;;; ; ;; ; ;;; ; ; ;;;;;;;
28;Náutico 400 m;QU062;22/11/2017;2017;primavera;19.5;;5.94;7.46;;;;;600;400;;6.2;0.67;;;24;30;2.05;;;;;;;
29;Pejerrey Club 400 m;QU063;22/11/2017;2017;primavera;21;;7.71;7.7;;;;;400;200;;4.65;1.54;;;22;54;0.83;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;22/11/2017;2017;primavera;22;;10.01;8.1;;;;;800;700;;7.09;0.27;;;18;37;2.54;;;;;;;
31;Puerto Trinidad calle 47;BZ077;22/11/2017;2017;primavera;20.7;;9.7;7.79;;;;;1800;500;;7.97;0.39;;;58;94;1.56;;;;;;;
32;Costanera Hudson Calle 63;BZ080;22/11/2017;2017;primavera;17.7;;9.06;7.63;;;;;2200;1100;;6.2;0.37;;;14;33;2.3;;;;;;;
33;Camping Eva Perón;EN081;22/11/2017;2017;primavera;19.3;;9.13;7.44;;;;;300;100;;6.2;0.57;;;12;24;3.37;;;;;;;
34;Toma de agua Club de Pesca;EN082;22/11/2017;2017;primavera;19.7;;7.2;7.66;;;;;50;50;;7.53;0.14;;;10;17;1.47;;;;;;;
35;Arroyo El Gato;EN083;22/11/2017;2017;primavera;20.7;;3.69;7.89;;;;;8800;600;;5.76;1.81;;;14;25;1.32;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;22/11/2017;2017;primavera;20.2;;5.26;7.61;;;;;400;250;;8.42;0.21;;;10;17;1.32;;;;;;;
37;Balneario Palo Blanco;BS092;22/11/2017;2017;primavera;10;;7.89;7.96;;;;;3200;2000;;3.72;0.04;;;62;107;0.34;;;;;;;
38;Playa La Bagliardi;BS091;22/11/2017;2017;primavera;10;;6.17;8.25;;;;;8800;3200;;4.43;1.84;;;26;37;4.22;;;;;;;
39;Playa La Balandra;BS093;22/11/2017;2017;primavera;10;;8.73;7.94;;;;;100;50;;4.21;0.04;;;8;40;3.06;;;;;;;
